track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_avg_streams,total_playlists,chart_appearances_count,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_Unknown,mode_Major,mode_Minor,release_date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",0.4972817167765908,-0.5887307096029277,6.899340704793572,-0.6579290454234641,-0.28719078568096995,4.17146206849582,-0.30106655891205836,1.2157093089601438,4.887877682632516,0.0877079669550413,0.8910956036247316,1.6008281582344444,1.13172906208893,0.1517289494010818,-0.18813199633449962,-0.745256192923879,-0.6188291735741569,-0.7348610688942149,-0.5625181803791156,1.204465457275986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-07-14
LALA,Myke Towers,-0.6230716545900549,-0.47205190306158396,1.8394702270860714,-0.6714588189259272,-0.22931782222965377,1.4641485569141588,-0.28956154625513625,1.8787918509198045,2.066306309556233,-1.0890530623833126,0.27562395019508706,0.40772985434013626,0.587654169115624,-0.7719720169820807,-0.18813199633449962,-0.5993136979364226,-0.6188291735741569,-0.8803486829321777,-0.4571328228314022,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-03-23
vampire,Olivia Rodrigo,-0.6230716545900549,-0.4818068087116203,5.16160740941928,-0.6603607932745954,0.30311344152245495,3.0648229688711988,-0.2603565141260263,1.8787918509198045,5.669529211660406,0.5512804936640898,-1.092090835204123,-0.8279791032646828,-0.6818539144887571,-0.3870966143224297,-0.18813199633449962,0.9330824994318699,-0.41696567796704703,1.3975290694209797,-0.456908359876029,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2023-06-30
Cruel Summer,Taylor Swift,-0.6230716545900549,0.33671845628688346,4.4971799729526385,0.5060431750773862,0.5577544807082461,3.0648229688711988,-0.2302664810233069,1.5472505799399743,3.121218129219889,1.6923820978709783,-0.818547878124281,0.27989789320860325,0.4667486373437781,-0.6180218559182203,-0.18813199633449962,-0.5263424504426943,0.4914200522649475,-0.3128538154413508,0.27450418020751516,1.204465457275986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019-08-23
WHERE SHE GOES,Bad Bunny,-0.6230716545900549,-0.2618780267835283,1.9416898326963241,-0.3722490445314769,0.18736751461982262,1.6024784443672362,-0.2638965180204639,2.0445624864097196,2.3395666001919992,0.7652370444528813,-0.13469048542467596,-1.211474986659282,0.9503707644311614,-0.502559235120325,7.307061718281972,-0.5263424504426943,-0.41696567796704703,0.2176181854194176,-0.2636457552997112,1.204465457275986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-05-18
Sprinter,"Dave, Central Cee",0.4972817167765908,-0.38185069757033885,4.037191747706502,-0.5832245227565334,-0.00940056111465235,3.18339144383098,-0.26301151704685444,2.37610375738955,5.650464540220701,0.6582587690584856,1.7117244748642577,0.6207831228926913,-0.3795900850591426,-0.3101215337904995,-0.18813199633449962,-0.745256192923879,1.399805782496942,-0.6181402759832945,-0.3717246683119029,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-06-01
Ella Baila Sola,"Eslabon Armado, Peso Pluma",0.4972817167765908,-0.26732557149718494,1.9416898326963241,0.3739109788922727,-0.391362119893339,3.3612441562706508,-0.3028365608592771,1.7130212154298894,2.2950823668326885,0.9078747449787424,0.0020809931152450402,1.3451642359713782,0.7085597008874698,0.8060171339224886,-0.18813199633449962,-0.745256192923879,-0.7197609213777119,-0.04457291795465944,-0.2790214677427748,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-03-16
Columbia,Quevedo,-0.6230716545900549,-0.5683340886983063,1.58392121306044,-0.8048374921959481,-0.49553345410570815,0.7329762946621774,-0.31434157351619924,1.7130212154298894,0.8715868993347435,-0.8037776613315903,0.0020809931152450402,-1.083643025527749,0.4062958714578552,0.3826541909968725,-0.18813199633449962,-0.5263424504426943,-0.6188291735741569,-0.5693102710054672,-0.5481525512352313,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2023-07-07
fukumean,Gunna,-0.6230716545900549,-0.5199396217072169,3.6283133252654918,-0.7394110722355507,-0.09042270994649498,3.124107206351089,-0.2984115559912302,1.381479944450059,5.694948773580013,0.26600509261236766,1.233024299974534,-1.2540856403697929,-0.13777902151545096,-0.5795343156522552,-0.18813199633449962,0.7141687569506853,-0.11417043455638219,-0.9546113080344409,-0.4993318584415622,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-05-15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",0.4972817167765908,-0.28468170232906775,1.6350310158655663,0.06971318340439435,-0.21774322953939054,1.14796595702141,-0.2824815384662611,1.7130212154298894,1.7930460189204669,1.6923820978709783,0.9594813428946921,0.19467658578758124,-0.9841177439183717,-0.23314645325856925,-0.18813199633449962,-0.745256192923879,2.3081915127289365,-0.4899661847143425,-0.2901323840337478,1.204465457275986,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-03-17
